S.No,Commentor name,Comment,Dislike,Insulting,Neutral,Supporting,Meaningless, Class
27,S?mid Arazov . ???ø?§¥Ÿ ??¥Ÿ?ñ?ø ??¥?¥?¥??ú .,Hallo  .  ?ÿ??¥???    ?­¥Ÿ?«?ø?§    ¥¥Ÿ?¨?æ¥?     ?¨¥????¬?æ¥?  ?¬???«??¥¥?¥?  .  ?­?¨?ø¥???ñ??    ?ý?ø?¬  .???,,,,1,,1
28,SD,Sunak The Black PM Wants Removing From British Government ???ª???,1,,,,,0
29,Colin Evans,Never heard so much rubbish I&#39;m so  angry with the detached people like him ????????????????,1,,,,,0
30,KrV,??®???®???®???®???®???®???®???®???®???®???®?????????????????????????????????????ƒ?‹?ƒ?‹?ƒ?‹?ƒ?‹?ƒ?‹?ƒ?‹?ƒ?‹????¬???¬???¬???¬???¬???¬????????????????????,,,,,1,1
31,Nathan Virica,"That reminds me, I really need to get rid of that dead rat my cat brought inside earlier...",1,,,,,0
32,Farhan Abdulhamid,TNX GOOD brother and sister TNX GOOD Family First good business ok thanks good,,,1,,,1
33,Ben Sullivan,Clearly there must be an alien invasion underway. I wonder at which point they will reveal themselves ???????œ???‹?ƒ?????ƒ????¨??,,,,,1,1
34,TechTinkering,General election,,,1,,,1
35,Dean,He will work night and day on his six figure income. Nurses will work day and night on their below inflation low income. The man&#39;s a joke.,1,,,,,0
36,Dean,Yuck.,1,,,,,0
37,Daniel Pitt,How much was he payed for this speech ???ª,,1,,,,0
38,Jason Young,Is he controlled by AI? Very wooden speech,1,,,,,0
39,Sharad Jain,India invented zero and hindu arabic numerals which the  world use. world renowed mathematician ramanujan was also from india.,,,1,,,1
40,cherie goodwin,Corruption and lies has slowly bought this country to its knees... ppl will only stand for so much ....civil unrest next  ?,,,,1,,1
41,Xoxox Nuklur,training the people army great war <br>for the delivery of war to Russia and to North Korea???MR PM,1,,,,,0
42,Zenoux Beauty,Sunak only promises what he can deliver and he delivers what he promises,,,,1,,1
43,Retinal Circus INC,Ah joy. A bootlicker,1,,,,,0
44,Bea,Sell us to the highest bidder more like.....,,1,,,,0
45,upper cut,"Self entitled privileged talking head, pretending that he makes decisions. News!?",,,1,,,1
46,Tri Hasta,TWENTY,,,,,1,1
47,John Phipps,Revolting man,1,,,,,0
48,Abid Kassam,Easier said than done.,1,,,,,0
49,shady hamzawy,???œ???œ???œ???œ???œ???œ???œ???œ???œ,,,,,1,1
50,ukguy,Has anyone else noticed how much he looks like Roland Rat?,,,,,1,1
51,H K,uk is such a cringefest,1,,,,,0
52,Ricardo Smythe,&quot;When will he resign?&quot; Said no media outlet,1,,,,,0
53,jebby jumbuck,Mick Lynch for PM,,,1,,,1
54,amaira kahn,Too many people inn the country so NHS will have a toll .. they waste money on immigration and prisons .. it&#39;s all fuked basically do much money wasted and under this government too many people have come into the country .. America is also behind this n is invested heavily in private companies and NHS,1,,,,,0
55,amaira kahn,"Under his team Priti Patel brang inn 200,000 Indians in 2 years ..and Ghanaian have flooded inn my town is fked",,1,,,,0
56,Billy Ray Valentine,Tories will never get in power again.  They have offended every living generation.  Bye bye in the next GE and good riddance,1,,,,,0
57,Shango S,Please help people,,,,1,,1
58,Deborah wyndham-lewis,Most businesses where I live have gone under!,1,,,,,0
59,Martin O'BRIEN,"Day Dreamer. No Substance Whatsoever . It is his pleading sincerity which shows his insincerity <br>Dreams made of Concrete, Painful .",,1,,,,0
60,Scooby doo,IF U STOP FUNDING HOTELS FOR MIGRANTS THEN U COULD PAY OUR NHS  TIME BRITAIN GOT SHUT OF THESE SPONGERS DOSSERS IN HOTELS,1,,,,,0
61,Simon Clark,Sunakƒ??s speech writers and political advisers need to be fired. He speaks far more convincingly and fluently when responding to journalistƒ??s questions. Why have his speech writers been unable to capture the best of Sunak on paper?<br><br>Or - perhaps they have convinced themselves the British people are too stupid to understand the real Sunak..?,,,,1,,1
62,A few too many,"And the winner of this speech is, Keir Starmer",,,,,1,1
63,Chris Goodman,I am pretty good at maths and something just doesn&#39;t add up,1,,,,,0
64,David Devilliers,Another chut lying again,,1,,,,0
65,Festadds Manster,as men we shall protect our women. no more tax for women. whats good for one right!.,,,,1,,1
66,charles hewett,"same script as before, different tone and delivery",1,,,,,0
67,Goldfinga Sliverfinga,Millions are going to Ukraine to prolong the war ..sucking the life line out of uk,1,,,,,0
68,southamerican stud,I suppose Sunak was elected by popular vote; any democratic country elects its leaders by voting at the polls,,,,1,,1
69,Goldfinga Sliverfinga,5 promises that Will never happen full of lies time for a general election the people of this country are struggling stop the boats dont make me laugh,1,,,,,0
70,southamerican stud,Sunak telling more lies dont believe a word this man said he thinks the public are stupid,,1,,,,0
71,Andrew 888,"Rishi Rich is an insincere, rehearsed wet lettuce !",,1,,,,0
72,Ju,Made his fortune through tax avoidance along with his wife his head office is in the Cayman Islands ???ªhow much longer do we have we got to put up with this corrupt government,,1,,,,0
73,Max Wolfe,"The ILLEGITIMATE Prime minister who 
<br>1, Wasted billions on The Pandemic.
<br>2. Wasted Billions on, The Lockdowns.
<br>3. Wasted Billions on Untested Vaccines.
<br>4. Wasted Billions on NET ZERO
<br>5. Destroyed the Energy market with Carbon &amp; Green taxes.",,1,,,,0
74,Mathew Davies,Will the mpƒ??s not take a pay rise this year and live like the rest of us?,1,,,,,0
75,faustaofps,kk,,,,,1,1
76,The_Clone_Ranger,"<a href=""https://youtu.be/75tUSfBCEq0"">https://youtu.be/75tUSfBCEq0</a>",,,,,1,1
77,tony grayson,Not sure about this but I&#39;ve just heard the first cuckoo of 2023. Is this a world record I ask myself?,,,1,,,1
78,Universal-Mind-Love,Please go. Time for general election,,,1,,,1
79,Yorkshire Pud,NEVER EVER EVER BE MY PM............... hope thats clear enough ??,1,,,,,0
80,Gooner94,Why don&#39;t the gov actually show the numbers.. after all that&#39;s his expertise,,1,,,,0
81,Abdul Rehan Khan,"Apparently, UK market salary is low as complete to Us salary market.Moreover UK government need to assess and reconsider for better Pay for working hard workers",,,1,,,1
82,Graeme Vipond,Wake up uk we are lions lead by donkey&#39;s.,1,,,,,0
83,Jay,I hope this guy faces justice one day for what he did during covid,,,,1,,1
84,jetblack,"This absurd, robotic performance from a ???­..",,1,,,,0
85,EVMYT,So far i havent seen him do anything that hasn&#39;t been the polar opposite of this speech.,,,,1,,1
86,royal crown towing,England is done,1,,,,,0
87,CT,I wish i was eloquent enough to express just how inhuman this speech is. Someone who is trying to speak so methodically to avoid scrutiny has infact managed to perfectly personify insincerity.   A living breathing deep fake.,1,,,,,0
88,Hayley Dryden,All i see is roland rat..,,1,,,,0
89,Nick T Lfc .,Lies,,1,,,,0
90,andrew hubbard,Sunak promises queues will reduce in the NHS but allows thousands of immagrants into the country weekly the NHS is doomed.,1,,,,,0
91,TRIPPLE-JAY,F*** 0FF we don&#39;t want agenda 21 or any Sharian Law&#39;s. So step down and F*** 0FF back to your corner shop.,,1,,,,0
92,Sifu,"The UK certainly could use the NFL&#39;s football team located in Dallas, Texas.  ???ÿ",,1,,,,0
93,Zenoux Beauty,Your UK not ours,1,,,,,0
94,Abdi Hashi,"Please guys Starmer, trump and muse bixi this is the change we need to stop this country going down the drain",1,,,,,0
95,Abdi Hashi,mass immigration caused by Mr sunak and his upper class friends across the world,,1,,,,0
96,Abdi Hashi,And know he wants to run the world with Biden and other corrupt officials,,1,,,,0
97,Abdi Hashi,Rishi was chancellor and turned on his mate for seat as a PM,1,,,,,0
98,Abdi Hashi,A honest politician is like square circle unless it&#39;s labour,,,1,,,1
99,Abdi Hashi,Starmer now!!!!!!!,,,1,,,1
100,Abdi Hashi,I think Mr sunak needs to let the public  know what miss braverman and his non dom billionaire wife did behind closed doors ???¦,1,,,,,0
101,Play Google,I have just noticed his ears.,,,1,,,1
102,Zenoux Beauty,"There was new year speeches from Sunak and Starmer on the 4th and 5th of January 2023. After watching these 2 Speeches I learned that Starmer had first of all nothing to offer, for instead of Starmer to go there with the 5 pledges his Labour party would deliver to the nation if Labour wins, he just went there and started criticizing the 5 pledges that the PM announced already on the 4 th of January yet Starmer was meant to have his own 5 pledges. Starmer did not offer anything to the nation., where as Sunak he had his 5 pledges he planned and he presented them on his new year speech and he was honest as well. Starmer presented himself on this new year speech like he is in a parliament where he faces the PM and accuse what the government has already planned. Starmer lost on New year speech for he proved he is out of touch, no charisma, idealistic, is not fit to lead a country.",1,,,,,0
103,LW1zFog,???­???­???­,,,,,1,1
104,Zenoux Beauty,@LW1zFog Piece of work,,,,,1,1
105,Haziq Shan,Mr. John Schmidt is legit and him method works like magic. I keep winning every week with him new strategy.,1,,,,,0
106,Jane,"Wow, I&#39;m just shocked that someone mentioned that expert Mr. John Schmidt thinks I&#39;m the only one trading with him.",,,,,1,1
107,Clara Joe,Him helped me get back what I lost trying to trade.,,,,,1,1
108,Samantha,Him is truly amazing with him skills.  Him changed my 0.5btc to 2.1btc.,,,,,1,1
109,Dora Marvich,I think I am blessed because otherwise I would not have met someone as spectacular as the expert Mr.john Schmidt <br>  I think him is the best broker I have ever seen.,,,,,1,1
110,Michael Scott,I also trade with him and earn $2600 per week.  My whole family traded with her and made a profit.,,,,,1,1
111,Ajay Kumar pandit,Please how to start with Mr.John Schmidt??,,,,,1,1
112,Lorraine,"I always wonder how him gets her analysis, I got a profit of $28,609 with capital of $4,000 in 7 days of trading with him.",,,,,1,1
113,Anita Jack,It&#39;s available on Telegramƒª?‹?.,,,,,1,1
114,Anita Jack,@MR_JOHN_SCHMIDT,,,,,1,1
115,Anita Jack,It is also available on WhatsAppƒª?‹?,,,,,1,1
116,Charles,"I&#39;m from France, I used to take a loan from the bank to survive, but after chatting with expert Mr. JohnSchmidt, she changed my financial situation for real???®???ú.",,,,,1,1
117,Adams Nora,Telegramƒª?‹?.,,,,,1,1
118,Adams Nora,@MR_JOHN_SCHMIDT,,,,,1,1
119,Adams Nora,It is also available on WhatsAppƒª?‹?,,,,,1,1
120,Dan Zackir,"Same here, I started with $5,000 earning now<br> $58,300 profit every one weeks with his trading<br> program.  Mr John Schmidt him strategies is second<br> to none and very profitable.",,,,,1,1
121,Barrymore,Telegram ????,,,,,1,1
122,Barrymore,@MR_JOHN _SCHMIDT,,,,,1,1
123,Jessica,Came across one of his client testimonials and decided to give it a try... Am expecting my third withdrawal in 2 days.,,,,,1,1
124,Jeanne,Please how can I get in touch with MR JOHN SCHMIDT??,,,,,1,1
125,Cormally Mirabel,Telegram,,,,,1,1
126,Cormally Mirabel,@MR_JOHN_SCHMIDT,,,,,1,1
127,Salihu Isah,"I&#39;m from Canada, me and two other friends of mine tried it immediately we testified, it worked wonders ????????.",,,,,1,1
128,Jolly Jammy,"Yes Most people remain poor only because their friends and relatives have discouraged and advised them against investing and trading currencies, while the wisest have continued to invest and grow financially.",,,,,1,1
129,Jeanette,Trading without a professional like Mr. John Schmidt is like gambling with your money.,,,,,1,1
130,Paul Fred,No exact amount but a profit ranging from $1200 to $5000 depending on how coins fluctuate in the market.,,,,,1,1
131,Rechard David,Please how can I get in touch with this famous Mr.John Schmidt??,,,,,1,1
132,Aishat Jimoh,Telegram????,,,,,1,1
133,Aishat Jimoh,@MR_JOHN_SCHMIDT,,,,,1,1
134,John Assaraf,I believe anyone who him takes care of her craft for is so lucky,,,,,1,1
135,Smart Williams,"Count on me because I place my trades with<br> Expert John Schmidt, This is the kind of information that<br> we don&#39;t get most Youtubers, I&#39;ll enter<br> touch with her right now.",,,,,1,1
136,MrTamiya89,We Don&#39;t need to learn maths to figure out Why The Cost Of Living Has Been Going On For Decade&#39;s. ????ƒ?ƒ??‹????????­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­,,,,,1,1
137,wwg1wga,Unelected!!,1,,,,,0
138,ben trem,We appear to have an adult in the house. What a nice change.,,,,,1,1
139,Mikel Blake,"Question is are we actually going stand up together for once and say no more.... Everyone needs to take strike out on the Conservative Party <a href=""http://www.youtube.com/results?search_query=%23nomore"">#nomore</a>",,,1,,,1
140,mohsdef,Guys out of touch with the public,1,,,,,0
141,The Context Channel,"Sunak is reaching for unicorns again ???????úƒ?ƒ??‹?, absolutely full of it. I&#39;m sure he wrote this speech in his colouring book",,,1,,,1
142,Ophthalmology35,If the Uk would have stopped trying to look after other countries they wouldnƒ??t be in this mess and the poor people of the UK wouldnƒ??t be suffering today.,1,,,,,0
143,Hakim Bangura,"Making big promises but not able to deliver, not even able to prevent nurses, teachers and RMT strike.",1,,,,,0
144,MrH,"I personally think anybody who earns over ?œ200,000 per year should have to pay for NHS treatment. Itƒ??s time this government starts working for the working people and not just for the rich. We also need a bigger army navy and air force because the predictable future isnƒ??t so predictable",1,,,,,0
145,Gwynfryn Evans,Something else occurs to me in addition to my earlier comment. If he wishes to know how a speech should be delivered he should listen to Peter Ustinov reading the dictionary.,,,1,,,1
146,Gwynfryn Evans,"I am extremely disappointed by a speech delivered by OUR PRIME MINISTER. Regardless of the content he proved that he cannot, in fact, make a speech that anyone believes. In fact it sounded like he didnƒ??t believe a word of it. He came across like a poor imitation of Duncan Smith.",1,,,,,0
147,Chris James,UK will be a third world country if this carries on ...,,1,,,,0
148,Peter Jolliffe,I am kinda fed up with listening to millionaires who&#39;s wealth is going through the roof saying we &#39;can&#39;t afford&#39; any more money for the poor.,,,1,,,1
149,H,Can someone summarise in bullet points what heƒ??s promising? Heƒ??s just layering everything with buzz words to conceal the genuine agenda ????,1,,,,,0
